guest,twitter,link2,link3,bio,photo
Various,,,,,
Lauren Golembiewski,laurengolem,http://laurengolem.com,https://www.voxable.io/,Product Design Director Lauren Golembiewski is co-founder of Voxable which builds conversational bots and voice interfaces.,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAAcCAAAAJDMzMjc4NjAxLTQxNTktNDYxMy1iMDkxLTE0MDUwMDk4MDE0MQ.jpg
Simon St. Laurent,simonstl,http://simonstl.com,,"Content manager at Lynda.com, Simon St. Larent is into tech, gardening, politics, Quakerism, and more. ",https://media.licdn.com/media/AAEAAQAAAAAAAAecAAAAJDhhNjFhYjUzLWJlNWMtNDcwZC1iODg0LTNhZmE3ZGE4MTZhMA.jpg
Mat Marquis,wilto,http://www.matmarquis.com/,https://github.com/wilto,I make websites at Bocoup. Melee DPS.,https://twitter.com/wilto/status/794961911213424641
Matt Vanderpol,bookwyrm,https://mattvanderpol.com/,,"I’m Matt Vanderpol. I help companies and agencies craft custom WordPress themes with an emphasis on content maintainability, performance, and responsive behavior.",https://mattvanderpol.com/about/
Various,,,,,
Sam Kapila,samkap,http://samkapila.com/,https://github.com/samkap,Director of Instruction at The Iron Yard.,http://www.blendconf.com/
Matt Griffin,elefontpress,http://matt-griffin.com/,https://github.com/elefontpress,"Designer and founder of @BeardedStudio and @WoodTypeRevival. Writer, speaker, and @alistapart columnist. Director of @FutureIsNext. Dad jokes.",http://matt-griffin.com/
Nick Pettit,nickrp,http://nickpettit.com/,https://github.com/nickpettit,I am a teacher at Treehouse and an independent game developer.,https://codepen.io/nickpettit/
Peter Olson,Dethtron5000,http://overtype.com/,https://www.linkedin.com/in/peterjolson,I kind of invented digital comics. Bio: Mississippi to Wesleyan to New York to Marvel to IDEO. Retweets involve pangolins.,https://twitter.com/witnews/status/572861786308808704
Various,,,,,
Matt Griffin,elefontpress,http://matt-griffin.com/,https://github.com/elefontpress,"Designer and founder of @BeardedStudio and @WoodTypeRevival. Writer, speaker, and @alistapart columnist. Director of @FutureIsNext. Dad jokes.",http://matt-griffin.com/
Jeffrey Zeldman,zeldman,http://www.zeldman.com/,https://www.linkedin.com/in/zeldman,A Book Apart. A List Apart. An Event Apart. The Big Web Show. Designing With Web Standards. studio.zeldman.,http://www.zeldman.com/about/
Val Head,vlh,http://valhead.com/,http://designinginterfaceanimation.com,Author of Designing Interface Animation and  Co-founder of Web Animations Workshops,https://twitter.com/vlh?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Mat Marquis,wilto,http://www.matmarquis.com/,https://github.com/wilto,I make websites at Bocoup.,https://twitter.com/wilto/status/794961911213424641
Cecy Correa,cecycorrea,http://cecycorrea.com/,https://github.com/cecyc,"Co-chapter leader Girl Develop It ATX, Organizer @RefreshAustin, @austinonrails. Software Dev at @returnpath / @contextio. My tweets are my own.",https://twitter.com/cecycorrea
Glenda Sims,goodwitch,http://www.glendathegood.com/blog/,https://www.linkedin.com/in/goodwitch,"the Goodwitch (and yet, still a witch)",http://www.deque.com/blog/employee-profile-glenda-sims/
Dan Jurgens,thedanjurgens,http://danjurgens.com/,https://www.linkedin.com/in/jurgensdaniel,Dan Jurgens is an accomplished writer and artist who both writes and draws the adventures of the comic book industry’s most legendary characters,https://twitter.com/thedanjurgens
Chris Coyier,chriscoyier,http://chriscoyier.net/,https://github.com/chriscoyier,braj i was there @real_css_tricks // @codepen // @shoptalkshow My new book about SVG you should buy: https://abookapart.com/products/practical-svg …,http://www.codenewbie.org/podcast/css-tricks
Wes Bos,wesbos,http://wesbos.com/,https://github.com/wesbos,Fullstack Developer,https://twitter.com/wesbos
Simon St. Laurent,simonstl,http://simonstl.com,,"Content manager at Lynda.com, Simon St. Larent is into tech, gardening, politics, Quakerism, and more. ",https://media.licdn.com/media/AAEAAQAAAAAAAAecAAAAJDhhNjFhYjUzLWJlNWMtNDcwZC1iODg0LTNhZmE3ZGE4MTZhMA.jpg
Dr. Christine Corbett,corbett,http://www.christinecorbettmoran.com/,https://aq.linkedin.com/in/christinecorbett,Hi! I'm Christine. I like collecting projects and experiences which I hope will one day render me able to solve any problem I find interesting or important. It's slow going at points but I have a lot of fun exploring and creating things in a variety of fields from AI to cryptography to astrophysics. ,http://www.maskmagazine.com/the-alien-issue/work/christine-corbett-moran
Dave Olsen,dmolsen,http://www.dmolsen.com/,https://github.com/dmolsen,pirate @westvirginiau. creator of detector & throttle. contribute to @patternlabio. one-time author. sometime presenter. all the time coder.,https://github.com/dmolsen
Ben Brown,benbrown,http://bjmn.me/,https://uk.linkedin.com/in/bforbenjamin,,
Scott McCloud,scottmccloud,http://scottmccloud.com/,,Eisner Award winning author of Understanding Comics,
Various,,,,,
Bruce Floyd,brucefloyd,http://www.brucefloyd.com/,https://www.linkedin.com/in/brucefloyd,"I'm the @FloridaGators social media manager. Wrecked @fotc's VIP area. ❤️s @Twitter, video games, #Gators. My opinions are my own, not UF's! #GoGators #SMSports",http://www.brucefloyd.com/resume/
Todd Sanders,tsand,,https://www.linkedin.com/in/tjsanders,Directing social media initiatives in #highered since February 2008. #gopackgo #hesm,http://www.urel.ufl.edu/staff/todd-sanders/
Rachel Andrew,rachelandrew,rachelandrew.co.uk,https://github.com/rachelandrew,"Web developer, writer, speaker, runner. Half of the company behind @grabaperch.",http://www.imlivin.com/microconf-2014-europe-recap-rachel-andrews/
